CustomerID,NewMonthlyPremium
86619762140,33499
71867319821,5281
13533800752,12864
98593967963,10637
90267176234,19178
85487946835,7555
37784085346,16773
04577538877,19737
24877231778,5822
83620512779,27808
717461084610,10785
859135954811,10269
465922356212,13774
093986382213,37582
420558916414,20106
273277331015,11595
143843096416,10627
686566027417,12525
641160410318,35656
214457404819,37537
798936569420,2313
127526595621,3548
131123420822,5179
513073471623,3239
111352012524,13057
800038837825,17817
998449204526,13093
288748432127,9495
123783393928,14958
400674433029,15620
106693677530,20177
987593229631,29678
672276376832,20546
367303376133,22976
151956158334,14383
893183287635,24658
653157876236,25473
151426044937,25665
948538572038,23481
584506554439,15895
085076269740,4783
651413901241,23389
069080958342,35584
434055439743,24696
644091260544,4404
481646561845,5041
810415066046,4250
790121609047,12139
649790578448,39618
439127699949,10241
501435895350,5878
511413086351,2043
014522996952,4026
839108666253,6825
007521469654,44781
372696613955,7868
492570789656,13246
118820947657,376
261335034558,14587
648200728859,10013
443990694160,6674
818328706661,4955
277352038062,1667
334296336263,10558
766781406964,8022
415260873965,5656
922446951866,7364
120639709567,25596
234649812668,41082
724106622369,1362
970613395270,1138
898107235571,4732
779725403572,38110
218757748973,814
741999046074,15046
727560341175,5460
223566859276,16764
889576122077,37174
799699380578,3263
264627828579,43093
477085312280,14978
556557263881,8472
932300658382,3314
913858221483,8811
001361998484,12136
701525889285,26440
947640254386,5690
774961677187,7104
691869323188,4410
992810057389,9947
427193637790,9233
042106123291,5208
052253428992,7677
542128311693,10023
263635918394,3583
557675913695,1944
746127250996,13860
952111569897,16995
737208953798,25767
968003881599,14263
1691378336100,5608
4828051036101,1278
9548090410102,12602
9687176465103,4771
4113283166104,21106
6475232630105,11346
8674328831106,3496
5186792581107,12363
1424452317108,2801
7685729842109,5553
1112983019110,8522
4770157941111,30970
7118286267112,19995
2352051346113,16007
6031880128114,3553
3328846865115,-207
5144671430116,24942
3601708259117,3041
2835339321118,6209
4951175471119,14115
1070092339120,21259
8284971973121,2667
3931230938122,9278
8735397728123,42313
7141306441124,13921
2060194728125,15629
8878669006126,12516
1508772584127,18117
6238474056128,20744
2188058353129,32173
7943781171130,10037
7858323515131,6796
8921336742132,12041
3245392502133,516
9454492279134,7145
9595109555135,10055
8859980963136,10677
1831708150137,12582
4073584099138,10076
4793318883139,3396
1395381135140,5686
5639064246141,6440
6801037715142,4232
6998041870143,20027
6798367160144,18504
6659052440145,27631
1480108094146,18775
7496553593147,1491
4489640781148,13086
9943452584149,11802
5367517651150,8248
0100719181151,4889
0244471527152,6980
1669004952153,7694
2774413523154,40
9521904066155,17039
6207144421156,19323
4902554812157,5628
1804361092158,8502
9700931379159,6356
4722179569160,9306
1150310987161,12093
7127277904162,19532
8878503337163,7962
0702317298164,1984
7540158758165,25982
7939168515166,16265
6282723204167,9771
6351033731168,15013
0013526040169,6071
7235817164170,44406
8193858970171,2221
4039873152172,20801
1050328229173,6953
6720208268174,11388
2101785018175,9697
3051219567176,7011
7375581056177,16142
0566987204178,3891
4270488617179,15635
3562792879180,13211
1777726242181,20691
9322088875182,6663
9486022390183,30633
5790695790184,5431
4130546548185,14949
9780875507186,1259
1740066552187,14912
8665034208188,11604
5889400118189,26963
8738110600190,46267
3910143905191,22150
6840203315192,10770
5938514423193,42480
0304895636194,9577
2532506223195,20341
0828405255196,19520
0151634989197,7651
4586535031198,14327
6526509447199,20614
9175601507200,2688
1054464859201,24511
8978379571202,16428
3407775332203,42546
1897133604204,11853
6496951199205,12435
4177301269206,41890
2539989764207,11246
8912158737208,4601
5665424572209,12394
5387618824210,1008
9478399569211,7977
1072066646212,31141
7592697109213,11439
0671779978214,10121
2971095416215,48552
8142368547216,44076
2214513897217,10928
0422651306218,9426
2767025159219,45627
5681985056220,4862
4916079747221,16325
8888214060222,27351
3988987622223,2584
3703984123224,10571
3855311889225,5392
1235701741226,13271
7341692530227,11330
3742133643228,4589
8887721069229,15392
7611824432230,18379
5854699608231,10084
5330009843232,12253
7454073737233,5578
5296694554234,18634
3992352076235,13757
1216732463236,10874
7608488611237,49470
3204321111238,24046
6423333169239,13107
0634414791240,39199
5690468386241,23085
6556852531242,9444
1578558835243,6952
2128076244244,14731
0221529962245,16546
2163844749246,5275
7479403249247,21460
6179586824248,16770
9859450346249,5104
